channelId,title,keyword,subscribers,uploads_playlist,avg_views,channel_url,email
UC9ODqSfRBs_bgrNdGuWmrUA,Cypher In Real Life,Valorant,75600,UU9ODqSfRBs_bgrNdGuWmrUA,315230,https://www.youtube.com/channel/UC9ODqSfRBs_bgrNdGuWmrUA,fill in emails yourself
UCJDdAu9Mn8Fij6bU6xLbWOQ,P0PPIN,Valorant,148000,UUJDdAu9Mn8Fij6bU6xLbWOQ,37292,https://www.youtube.com/channel/UCJDdAu9Mn8Fij6bU6xLbWOQ,
UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,Valorant,1020000,UUTbtlMEiBfs0zZLQyJzR0Uw,201164,https://www.youtube.com/channel/UCTbtlMEiBfs0zZLQyJzR0Uw,
UC1OwtYPsLPLBDMj81xcukjw,Default Sage,Valorant,57500,UU1OwtYPsLPLBDMj81xcukjw,0,https://www.youtube.com/channel/UC1OwtYPsLPLBDMj81xcukjw,
UCDp4i3jmRw6EaeaZFUivKfw,Wanted,Marvel Rivals,286000,UUDp4i3jmRw6EaeaZFUivKfw,17579,https://www.youtube.com/channel/UCDp4i3jmRw6EaeaZFUivKfw,
UCO1RaID33uvGW1EtoMSHygA,Khyomaru,Marvel Rivals,71000,UUO1RaID33uvGW1EtoMSHygA,0,https://www.youtube.com/channel/UCO1RaID33uvGW1EtoMSHygA,
UCtctICq7h67zuIPqqOtffdg,TDTwo,Marvel Rivals,38700,UUtctICq7h67zuIPqqOtffdg,81445,https://www.youtube.com/channel/UCtctICq7h67zuIPqqOtffdg,
UCbxDPwpvvfYss3fOWXjZKrg,CaptainCoach,Marvel Rivals,29000,UUbxDPwpvvfYss3fOWXjZKrg,15088,https://www.youtube.com/channel/UCbxDPwpvvfYss3fOWXjZKrg,
UCY6Qy4qU-d13U42280CxIvA,True Vanguard,Marvel Rivals,323000,UUY6Qy4qU-d13U42280CxIvA,25789,https://www.youtube.com/channel/UCY6Qy4qU-d13U42280CxIvA,
UCk9xNdmgY8im4RDCops9YYw,Treyten,GTAV,2880000,UUk9xNdmgY8im4RDCops9YYw,857239,https://www.youtube.com/channel/UCk9xNdmgY8im4RDCops9YYw,
UCVbHtumpz9RlCkDd0Uwfu3w,AK Clips,GTAV,103000,UUVbHtumpz9RlCkDd0Uwfu3w,63735,https://www.youtube.com/channel/UCVbHtumpz9RlCkDd0Uwfu3w,
UCtx2xdYKK66xi-IvniX9ObA,Gaming IQ,GTAV,68000,UUtx2xdYKK66xi-IvniX9ObA,19546,https://www.youtube.com/channel/UCtx2xdYKK66xi-IvniX9ObA,
UCqjlWTrwDuj4z1WfWg0ajjQ,Vishal Parkour,GTAV,80900,UUqjlWTrwDuj4z1WfWg0ajjQ,5884,https://www.youtube.com/channel/UCqjlWTrwDuj4z1WfWg0ajjQ,
